iter	Logloss
0	0.6908312865
1	0.6887261285
2	0.6869751593
3	0.6847254898
4	0.6834502249
5	0.6816963581
6	0.679839533
7	0.6780454693
8	0.6769082426
9	0.6751575817
10	0.6738887286
11	0.6720140862
12	0.6703203914
13	0.6691115871
14	0.6672281901
15	0.665697749
16	0.6636457963
17	0.6623549953
18	0.660626529
19	0.6588629829
20	0.6572351937
21	0.6555636936
22	0.654058468
23	0.6525829585
24	0.6512039339
25	0.6497954397
26	0.6485176472
27	0.6469190809
28	0.6453819198
29	0.6437481504
30	0.6426871868
31	0.6409872036
32	0.639385863
33	0.6380504261
34	0.6367759011
35	0.6354744343
36	0.634451818
37	0.6329932627
38	0.6315002441
39	0.6304201685
40	0.6291662351
41	0.6280108211
42	0.6270550352
43	0.6259283509
44	0.6246096216
45	0.6231240012
46	0.6218385639
47	0.6208715574
48	0.6197277955
49	0.6187202839
