iter	Passed	Remaining
0	2	114
1	3	80
2	12	192
3	20	235
4	29	265
5	31	232
6	40	250
7	43	229
8	53	245
9	65	262
10	77	274
11	91	288
12	104	296
13	117	301
14	131	306
15	145	309
16	147	287
17	162	288
18	176	287
19	189	284
20	193	266
21	207	264
22	221	260
23	235	254
24	249	249
25	264	243
26	277	236
27	283	222
28	284	206
29	288	192
30	305	187
31	308	173
32	311	160
33	327	154
34	341	146
35	356	138
36	361	127
37	376	118
38	378	106
39	394	98
40	408	89
41	422	80
42	436	71
43	450	61
44	455	50
45	468	40
46	483	30
47	500	20
48	502	10
49	515	0
